InvoiceNo,ShipmentProvider,WarehouseLocation,OrderPriority,ReturnStatus,PaymentMethod
567835,UPS,Rome,Medium,Not Returned,Credit Card
400486,UPS,Paris,Medium,Returned,Bank Transfer
102257,UPS,Berlin,Medium,Not Returned,Bank Transfer
389508,FedEx,Berlin,Medium,Not Returned,paypall
780332,UPS,Paris,Medium,Not Returned,Bank Transfer
211715,Royal Mail,Paris,High,Not Returned,paypall
126654,Royal Mail,Amsterdam,Low,Returned,Bank Transfer
836129,FedEx,Amsterdam,Low,Returned,paypall
443567,DHL,Paris,Low,Not Returned,Credit Card
391464,FedEx,Rome,High,Not Returned,Bank Transfer
645096,Royal Mail,Amsterdam,High,Not Returned,Credit Card
676677,DHL,Rome,Low,Not Returned,Bank Transfer
588906,UPS,London,Medium,Not Returned,Credit Card
218581,Royal Mail,Amsterdam,High,Not Returned,Credit Card
227927,Royal Mail,Amsterdam,Low,Not Returned,paypall
134773,Royal Mail,Amsterdam,Low,Not Returned,Bank Transfer
806528,DHL,Amsterdam,Medium,Not Returned,Credit Card
520963,FedEx,Amsterdam,Low,Returned,paypall
438540,DHL,Paris,Low,Not Returned,paypall
601590,Royal Mail,Paris,Medium,Not Returned,Bank Transfer
469836,Royal Mail,Amsterdam,Medium,Returned,paypall
314764,FedEx,Amsterdam,High,Not Returned,Bank Transfer
681793,Royal Mail,Berlin,Medium,Not Returned,Bank Transfer
972328,Royal Mail,Berlin,Low,Not Returned,paypall
642423,FedEx,Amsterdam,Low,Not Returned,paypall
715175,Royal Mail,Amsterdam,Medium,Not Returned,Bank Transfer
222118,UPS,Amsterdam,High,Not Returned,Bank Transfer
409521,DHL,Rome,Low,Not Returned,Bank Transfer
254626,FedEx,London,Medium,Not Returned,Credit Card
948923,DHL,Rome,Medium,Not Returned,paypall
345739,DHL,Amsterdam,Low,Not Returned,Bank Transfer
944715,UPS,Berlin,High,Returned,paypall
578356,UPS,Amsterdam,High,Not Returned,paypall
379067,Royal Mail,Paris,High,Not Returned,paypall
409735,Royal Mail,London,Medium,Not Returned,paypall
686549,FedEx,Paris,Low,Returned,paypall
416480,DHL,Rome,Low,Not Returned,Bank Transfer
436227,DHL,Paris,Low,Not Returned,Bank Transfer
685236,Royal Mail,Amsterdam,Low,Not Returned,Credit Card
340891,Royal Mail,Paris,Medium,Returned,paypall
264074,DHL,Amsterdam,High,Not Returned,paypall
573314,UPS,Paris,High,Not Returned,Credit Card
609452,UPS,Rome,Low,Not Returned,Bank Transfer
388816,UPS,London,Low,Not Returned,Credit Card
890645,FedEx,Rome,High,Not Returned,Credit Card
241365,UPS,Paris,Medium,Not Returned,Credit Card
549076,DHL,Amsterdam,Low,Not Returned,Bank Transfer
162507,UPS,Paris,High,Not Returned,Credit Card
157134,FedEx,Amsterdam,Low,Not Returned,Bank Transfer
233172,DHL,Amsterdam,Medium,Not Returned,Credit Card
341225,Royal Mail,Rome,Low,Not Returned,paypall
293069,Royal Mail,Paris,Low,Not Returned,paypall
914604,UPS,Amsterdam,High,Not Returned,Bank Transfer
906564,Royal Mail,Paris,Low,Not Returned,paypall
873221,Royal Mail,Amsterdam,High,Not Returned,paypall
904631,DHL,Amsterdam,Low,Not Returned,Bank Transfer
660897,FedEx,Paris,Low,Returned,paypall
274037,Royal Mail,London,Medium,Not Returned,Bank Transfer
763376,UPS,Amsterdam,Low,Not Returned,Bank Transfer
532995,UPS,Paris,High,Returned,Credit Card
596013,Royal Mail,Berlin,Low,Not Returned,Bank Transfer
394025,Royal Mail,Amsterdam,Low,Returned,Bank Transfer
837954,FedEx,Amsterdam,Medium,Not Returned,Bank Transfer
910904,Royal Mail,Amsterdam,Medium,Not Returned,Credit Card
600098,DHL,Berlin,Medium,Not Returned,Bank Transfer
807173,UPS,London,Low,Not Returned,Credit Card
855728,FedEx,Berlin,Low,Not Returned,Bank Transfer
357803,DHL,London,Medium,Not Returned,Bank Transfer
791381,FedEx,London,Medium,Not Returned,paypall
416275,Royal Mail,London,Low,Not Returned,Credit Card
779447,UPS,Rome,Low,Not Returned,Bank Transfer
112828,UPS,Amsterdam,Low,Not Returned,paypall
983096,FedEx,London,Low,Not Returned,Credit Card
616835,UPS,Paris,High,Not Returned,paypall
756761,Royal Mail,London,Medium,Not Returned,Credit Card
901625,FedEx,Paris,Medium,Not Returned,Bank Transfer
323461,UPS,Berlin,Low,Not Returned,Bank Transfer
538080,DHL,London,Low,Not Returned,paypall
513523,Royal Mail,Paris,Low,Not Returned,paypall
464662,Royal Mail,Amsterdam,Low,Returned,paypall
381755,FedEx,Paris,Low,Not Returned,paypall
799151,Royal Mail,London,Low,Not Returned,paypall
438384,Royal Mail,London,Low,Not Returned,paypall
339719,Royal Mail,Amsterdam,Low,Not Returned,Credit Card
832763,DHL,Berlin,High,Not Returned,Credit Card
889177,UPS,London,Low,Not Returned,Credit Card
941675,DHL,Berlin,Low,Not Returned,Credit Card
366010,UPS,Berlin,Low,Returned,Bank Transfer
787605,UPS,Berlin,Low,Not Returned,Bank Transfer
537940,UPS,Paris,Low,Not Returned,paypall
695642,UPS,London,High,Not Returned,paypall
151374,UPS,Paris,High,Not Returned,Credit Card
214397,UPS,Amsterdam,Medium,Not Returned,paypall
348552,UPS,Paris,Low,Returned,paypall
486721,DHL,Amsterdam,Low,Not Returned,Credit Card
523332,DHL,Paris,Medium,Not Returned,paypall
967461,UPS,London,Medium,Not Returned,paypall
980006,FedEx,Amsterdam,Low,Not Returned,Bank Transfer
392575,UPS,Amsterdam,Low,Not Returned,Bank Transfer
511124,FedEx,Berlin,Medium,Not Returned,paypall
129336,FedEx,Amsterdam,Medium,Not Returned,Credit Card
927424,FedEx,London,High,Not Returned,Credit Card
155350,DHL,Rome,High,Returned,Credit Card
693849,DHL,London,Low,Not Returned,paypall
610470,Royal Mail,Berlin,Medium,Not Returned,Credit Card
938387,Royal Mail,Amsterdam,Medium,Not Returned,Bank Transfer
161240,Royal Mail,London,Medium,Not Returned,paypall
775453,UPS,Paris,High,Not Returned,paypall
499371,UPS,London,Medium,Not Returned,paypall
670895,Royal Mail,Amsterdam,Medium,Not Returned,paypall
811028,Royal Mail,Rome,High,Not Returned,Bank Transfer
281196,Royal Mail,Berlin,Low,Not Returned,Credit Card
415014,DHL,Berlin,Low,Not Returned,Bank Transfer
549763,DHL,Berlin,Low,Not Returned,Credit Card
688398,UPS,Rome,Low,Not Returned,paypall
284626,DHL,London,Medium,Not Returned,Credit Card
776296,DHL,Paris,Medium,Not Returned,paypall
479039,UPS,Amsterdam,Low,Not Returned,Credit Card
628714,DHL,Amsterdam,Low,Not Returned,Credit Card
844199,FedEx,Berlin,Low,Not Returned,Credit Card
914038,UPS,Amsterdam,Low,Not Returned,paypall
541048,Royal Mail,Berlin,High,Not Returned,Credit Card
652439,Royal Mail,London,Medium,Returned,paypall
373452,Royal Mail,Rome,Medium,Not Returned,Bank Transfer
340853,FedEx,Rome,Low,Not Returned,Credit Card
878883,DHL,Berlin,Low,Not Returned,paypall
276743,FedEx,Paris,Low,Not Returned,Bank Transfer
190306,DHL,London,Medium,Not Returned,paypall
849468,Royal Mail,London,Low,Not Returned,Bank Transfer
993416,Royal Mail,Rome,Low,Not Returned,paypall
626492,FedEx,Amsterdam,Medium,Not Returned,paypall
192769,FedEx,Berlin,High,Not Returned,Credit Card
187265,UPS,London,Low,Not Returned,Bank Transfer
917563,Royal Mail,Rome,Low,Not Returned,paypall
152428,DHL,Amsterdam,Low,Not Returned,Bank Transfer
658158,Royal Mail,London,Medium,Not Returned,Bank Transfer
727835,UPS,Berlin,High,Not Returned,paypall
860278,UPS,Rome,Medium,Not Returned,Credit Card
149067,Royal Mail,Paris,High,Returned,Credit Card
862371,FedEx,Amsterdam,High,Not Returned,paypall
212217,DHL,Berlin,Low,Returned,Credit Card
518184,UPS,Rome,Medium,Not Returned,Bank Transfer
723222,UPS,Berlin,High,Not Returned,Bank Transfer
242980,FedEx,Rome,High,Not Returned,Bank Transfer
602367,FedEx,Rome,Low,Not Returned,Credit Card
436851,Royal Mail,Berlin,Low,Not Returned,paypall
309329,Royal Mail,Berlin,Medium,Not Returned,Bank Transfer
357354,DHL,Berlin,Medium,Not Returned,paypall
623406,FedEx,Rome,Low,Not Returned,paypall
161215,Royal Mail,London,High,Not Returned,paypall
811195,Royal Mail,Berlin,Medium,Not Returned,Credit Card
411573,FedEx,Berlin,Low,Not Returned,Bank Transfer
968584,Royal Mail,Rome,Medium,Returned,Credit Card
732336,DHL,Rome,Low,Not Returned,Bank Transfer
269530,DHL,London,High,Not Returned,Bank Transfer
277241,Royal Mail,London,Low,Not Returned,paypall
238731,Royal Mail,Rome,Medium,Returned,paypall
553830,FedEx,Rome,Low,Not Returned,Credit Card
864265,FedEx,Rome,Medium,Not Returned,paypall
439384,DHL,Rome,Medium,Not Returned,paypall
526009,Royal Mail,Berlin,Medium,Not Returned,paypall
213688,DHL,London,High,Not Returned,Bank Transfer
408617,FedEx,Paris,Medium,Not Returned,Bank Transfer
983194,UPS,Rome,Low,Not Returned,Bank Transfer
844748,DHL,Berlin,Medium,Not Returned,Credit Card
590834,UPS,Rome,High,Not Returned,Credit Card
993388,DHL,London,Low,Not Returned,paypall
480596,Royal Mail,Amsterdam,Medium,Not Returned,Bank Transfer
811111,Royal Mail,Berlin,Medium,Not Returned,paypall
834275,FedEx,London,Medium,Not Returned,Bank Transfer
369150,Royal Mail,Rome,Medium,Not Returned,Credit Card
349243,Royal Mail,Rome,High,Returned,Bank Transfer
698506,Royal Mail,Paris,Medium,Not Returned,Bank Transfer
296416,UPS,Amsterdam,Low,Not Returned,Bank Transfer
656718,UPS,Paris,Low,Not Returned,Bank Transfer
123091,FedEx,Rome,Medium,Not Returned,Bank Transfer
881413,DHL,Berlin,Low,Not Returned,paypall
648277,DHL,Rome,High,Not Returned,Bank Transfer
175451,DHL,Amsterdam,Medium,Not Returned,Bank Transfer
118990,Royal Mail,Amsterdam,High,Not Returned,paypall
452414,DHL,Amsterdam,Medium,Not Returned,Bank Transfer
966792,FedEx,Amsterdam,Medium,Not Returned,paypall
350541,DHL,Paris,High,Not Returned,Credit Card
922513,Royal Mail,Rome,Low,Not Returned,Bank Transfer
766393,Royal Mail,Rome,Low,Not Returned,Credit Card
470416,FedEx,Berlin,Medium,Not Returned,Bank Transfer
902673,DHL,Amsterdam,High,Returned,Credit Card
224932,UPS,Amsterdam,Low,Not Returned,Bank Transfer
368083,Royal Mail,Berlin,Low,Not Returned,Credit Card
213000,DHL,Amsterdam,Low,Returned,Bank Transfer
802922,FedEx,Berlin,Low,Not Returned,Credit Card
659351,Royal Mail,London,Medium,Returned,Bank Transfer
593216,DHL,Berlin,High,Not Returned,Credit Card
832081,DHL,Rome,Low,Not Returned,Credit Card
782405,FedEx,Rome,Low,Not Returned,Bank Transfer
609850,UPS,Berlin,High,Not Returned,Bank Transfer
537985,UPS,Berlin,Medium,Not Returned,paypall
933550,FedEx,Rome,High,Not Returned,paypall
184703,UPS,Amsterdam,High,Not Returned,Credit Card
595164,FedEx,Amsterdam,Low,Not Returned,paypall
514841,UPS,Rome,High,Not Returned,Credit Card
860084,DHL,Paris,Low,Not Returned,paypall
752845,DHL,Rome,Medium,Not Returned,paypall
389220,DHL,Berlin,Low,Returned,Credit Card
353317,UPS,Rome,Low,Not Returned,paypall
295877,FedEx,Paris,Medium,Not Returned,Bank Transfer
931037,FedEx,Berlin,Medium,Not Returned,Bank Transfer
446709,Royal Mail,London,Medium,Not Returned,Credit Card
581725,DHL,Paris,High,Not Returned,Bank Transfer
925553,Royal Mail,Rome,Medium,Not Returned,Bank Transfer
917865,UPS,Paris,Medium,Not Returned,Credit Card
667597,UPS,London,Medium,Not Returned,Bank Transfer
953900,Royal Mail,London,Medium,Not Returned,paypall
537470,DHL,Amsterdam,High,Not Returned,Bank Transfer
953725,FedEx,Rome,Low,Not Returned,paypall
458402,DHL,Paris,Medium,Not Returned,paypall
924837,Royal Mail,Amsterdam,High,Not Returned,Credit Card
667815,DHL,London,Low,Not Returned,Bank Transfer
963659,UPS,Amsterdam,High,Not Returned,paypall
848778,Royal Mail,Paris,High,Not Returned,Bank Transfer
239883,FedEx,Rome,Low,Not Returned,Bank Transfer
717632,FedEx,London,Medium,Not Returned,paypall
255344,DHL,Rome,Medium,Not Returned,paypall
565226,Royal Mail,London,Medium,Not Returned,Bank Transfer
847852,UPS,Berlin,High,Not Returned,paypall
671441,FedEx,Rome,Medium,Not Returned,Credit Card
208042,UPS,Paris,High,Not Returned,Credit Card
154110,FedEx,Paris,Low,Not Returned,Bank Transfer
245051,DHL,Paris,High,Not Returned,Credit Card
865419,UPS,Amsterdam,Low,Returned,paypall
863461,UPS,Berlin,Medium,Not Returned,Bank Transfer
128328,Royal Mail,Amsterdam,Medium,Returned,Bank Transfer
737199,Royal Mail,Berlin,Medium,Not Returned,paypall
375011,FedEx,London,Low,Not Returned,Bank Transfer
159234,DHL,Rome,Medium,Not Returned,Credit Card
912283,DHL,Paris,Medium,Not Returned,Bank Transfer
917711,FedEx,Rome,Medium,Not Returned,paypall
872791,Royal Mail,Paris,Low,Not Returned,paypall
327135,UPS,Paris,Medium,Not Returned,paypall
697690,DHL,Berlin,High,Not Returned,Credit Card
901881,FedEx,London,Low,Not Returned,Credit Card
438365,DHL,London,High,Not Returned,Credit Card
975512,FedEx,Amsterdam,High,Not Returned,Bank Transfer
629739,FedEx,Paris,Low,Not Returned,Bank Transfer
187178,UPS,Berlin,Medium,Returned,Credit Card
950193,FedEx,Amsterdam,Medium,Not Returned,Credit Card
336562,Royal Mail,Rome,Medium,Not Returned,Credit Card
401014,UPS,Amsterdam,High,Not Returned,paypall
458710,UPS,London,Low,Not Returned,Bank Transfer
485893,UPS,Paris,Low,Not Returned,paypall
223765,FedEx,Paris,Medium,Not Returned,Bank Transfer
487025,UPS,Amsterdam,Medium,Not Returned,Credit Card
228389,Royal Mail,London,Low,Not Returned,Bank Transfer
813987,Royal Mail,Amsterdam,High,Not Returned,paypall
297227,UPS,Amsterdam,Low,Not Returned,paypall
592402,DHL,Amsterdam,Low,Not Returned,Credit Card
911804,FedEx,Rome,Medium,Not Returned,Bank Transfer
890074,DHL,Paris,Low,Not Returned,Credit Card
360220,Royal Mail,Amsterdam,Medium,Not Returned,Credit Card
521217,FedEx,London,High,Not Returned,paypall
396208,Royal Mail,Paris,Medium,Not Returned,paypall
850186,DHL,London,Medium,Not Returned,Bank Transfer
900554,DHL,Paris,High,Not Returned,Bank Transfer
168431,DHL,Amsterdam,Medium,Not Returned,paypall
155745,UPS,Paris,High,Not Returned,Credit Card
150081,DHL,London,High,Not Returned,Bank Transfer
316204,UPS,Amsterdam,Medium,Not Returned,paypall
501415,UPS,Amsterdam,High,Not Returned,paypall
700541,DHL,Rome,High,Not Returned,paypall
398335,DHL,Amsterdam,Medium,Not Returned,Credit Card
896643,DHL,London,Medium,Returned,Bank Transfer
211086,DHL,London,High,Not Returned,Credit Card
556285,UPS,Amsterdam,High,Not Returned,Credit Card
514758,UPS,London,High,Not Returned,Credit Card
524528,UPS,London,High,Not Returned,paypall
538458,Royal Mail,Paris,Low,Not Returned,paypall
988403,DHL,Berlin,Medium,Not Returned,Credit Card
718071,DHL,Amsterdam,Low,Not Returned,paypall
749969,Royal Mail,Rome,Low,Not Returned,Credit Card
712181,UPS,Amsterdam,Low,Not Returned,Bank Transfer
599797,DHL,London,High,Not Returned,Bank Transfer
258763,FedEx,London,Low,Not Returned,Credit Card
702248,FedEx,Rome,Low,Not Returned,paypall
970820,FedEx,Rome,Low,Not Returned,Bank Transfer
122601,DHL,Paris,High,Not Returned,Bank Transfer
511236,DHL,Amsterdam,Medium,Not Returned,Credit Card
239227,DHL,Amsterdam,Medium,Not Returned,paypall
824479,UPS,Berlin,Low,Returned,paypall
792137,Royal Mail,Rome,Low,Not Returned,Credit Card
381854,UPS,Berlin,Low,Not Returned,Credit Card
470858,DHL,Berlin,Medium,Not Returned,Credit Card
779892,Royal Mail,Amsterdam,Low,Not Returned,paypall
753015,FedEx,Paris,High,Not Returned,Credit Card
687515,FedEx,Rome,Low,Not Returned,paypall
760327,UPS,Paris,Low,Not Returned,Bank Transfer
708577,Royal Mail,Paris,Low,Not Returned,Bank Transfer
251094,DHL,Amsterdam,Low,Returned,Bank Transfer
536679,Royal Mail,Amsterdam,High,Not Returned,Credit Card
830031,UPS,London,Medium,Not Returned,paypall
892154,UPS,Paris,Low,Not Returned,Credit Card
782773,FedEx,Amsterdam,Low,Not Returned,Credit Card
967482,FedEx,Amsterdam,High,Not Returned,paypall
602648,DHL,London,Medium,Not Returned,paypall
858108,Royal Mail,Rome,High,Not Returned,paypall
861282,UPS,Berlin,Low,Not Returned,paypall
579083,FedEx,London,Medium,Not Returned,Bank Transfer
445740,DHL,Amsterdam,Medium,Not Returned,Bank Transfer
953164,FedEx,Paris,Low,Not Returned,Credit Card
505513,FedEx,Berlin,High,Not Returned,paypall
168323,DHL,Rome,Medium,Not Returned,paypall
385960,DHL,Rome,Medium,Not Returned,paypall
664983,UPS,Amsterdam,High,Not Returned,paypall
512918,UPS,London,Medium,Not Returned,Bank Transfer
518458,FedEx,Berlin,Medium,Not Returned,Bank Transfer
155841,UPS,London,Low,Not Returned,Credit Card
490642,Royal Mail,London,Low,Not Returned,paypall
298784,DHL,Berlin,Low,Returned,Bank Transfer
207096,DHL,Amsterdam,High,Not Returned,Credit Card
192764,UPS,Paris,High,Not Returned,paypall
546790,DHL,Amsterdam,High,Not Returned,paypall
710032,FedEx,London,Medium,Not Returned,Credit Card
914914,Royal Mail,Berlin,Medium,Not Returned,Bank Transfer
633459,Royal Mail,Paris,Low,Not Returned,paypall
725043,UPS,Rome,High,Not Returned,paypall
592148,Royal Mail,London,High,Not Returned,Bank Transfer
732413,Royal Mail,Amsterdam,High,Not Returned,Bank Transfer
468226,DHL,Paris,Low,Not Returned,Credit Card
103696,Royal Mail,Amsterdam,High,Not Returned,Bank Transfer
226310,DHL,Amsterdam,Medium,Not Returned,Bank Transfer
775673,UPS,Paris,Medium,Not Returned,Credit Card
905581,DHL,London,High,Not Returned,Bank Transfer
939953,Royal Mail,Berlin,Low,Not Returned,Credit Card
145740,Royal Mail,London,High,Not Returned,Bank Transfer
206611,Royal Mail,Amsterdam,High,Returned,Credit Card
498172,FedEx,Berlin,Medium,Not Returned,paypall
568947,Royal Mail,Amsterdam,Medium,Not Returned,Credit Card
575828,UPS,Berlin,Low,Not Returned,Credit Card
873210,UPS,Rome,Medium,Not Returned,Bank Transfer
428785,FedEx,Paris,High,Not Returned,Credit Card
688099,DHL,Rome,Medium,Not Returned,paypall
545376,Royal Mail,Berlin,High,Not Returned,Bank Transfer
806673,FedEx,London,High,Not Returned,Bank Transfer
687520,Royal Mail,London,Low,Not Returned,Bank Transfer
901849,Royal Mail,Berlin,Low,Not Returned,Credit Card
780089,DHL,Berlin,Medium,Not Returned,Bank Transfer
212492,DHL,London,Medium,Not Returned,Bank Transfer
130099,FedEx,Rome,Medium,Not Returned,Credit Card
853494,UPS,London,Medium,Not Returned,Credit Card
523177,UPS,London,Medium,Returned,Bank Transfer
742762,FedEx,Paris,Medium,Not Returned,paypall
371400,UPS,Paris,Medium,Not Returned,Credit Card
579336,FedEx,Amsterdam,High,Not Returned,paypall
867876,Royal Mail,Amsterdam,Medium,Returned,paypall
658969,Royal Mail,London,Low,Not Returned,Credit Card
191328,FedEx,Paris,Low,Not Returned,Credit Card
842800,DHL,London,Low,Not Returned,paypall
405505,FedEx,London,Low,Not Returned,Bank Transfer
557719,UPS,Rome,Medium,Not Returned,paypall
134540,Royal Mail,Rome,Low,Not Returned,Credit Card
257608,FedEx,Amsterdam,High,Not Returned,paypall
184700,DHL,Rome,Low,Not Returned,Bank Transfer
440676,FedEx,Paris,Low,Returned,Bank Transfer
811935,FedEx,Paris,Low,Not Returned,paypall
489770,FedEx,London,Low,Not Returned,paypall
496087,UPS,London,Low,Not Returned,Credit Card
146002,Royal Mail,Paris,Medium,Not Returned,Bank Transfer
149812,FedEx,Paris,Medium,Returned,Credit Card
515842,Royal Mail,Berlin,Medium,Not Returned,paypall
815339,DHL,Paris,Low,Not Returned,Bank Transfer
357906,DHL,Paris,High,Not Returned,Bank Transfer
208946,FedEx,Paris,High,Returned,paypall
166668,Royal Mail,London,Medium,Not Returned,Bank Transfer
199003,FedEx,Berlin,High,Not Returned,Bank Transfer
835430,UPS,Berlin,Low,Not Returned,paypall
320462,UPS,Paris,Medium,Not Returned,paypall
929430,UPS,Amsterdam,Low,Not Returned,Credit Card
819174,DHL,Rome,High,Not Returned,Credit Card
728889,DHL,Amsterdam,Low,Not Returned,Credit Card
369956,Royal Mail,Amsterdam,Medium,Not Returned,Credit Card
161844,DHL,Berlin,Medium,Not Returned,Bank Transfer
825453,Royal Mail,Paris,Low,Not Returned,Bank Transfer
495395,UPS,Berlin,High,Not Returned,Bank Transfer
799158,Royal Mail,Berlin,High,Returned,Bank Transfer
174601,DHL,Rome,Medium,Not Returned,paypall
410001,UPS,Berlin,Medium,Not Returned,Credit Card
487699,DHL,London,High,Not Returned,Bank Transfer
594700,Royal Mail,Berlin,High,Not Returned,Bank Transfer
382844,DHL,Amsterdam,High,Not Returned,Credit Card
882215,Royal Mail,Amsterdam,Low,Not Returned,Credit Card
532680,Royal Mail,London,Medium,Not Returned,Credit Card
273423,Royal Mail,Berlin,High,Not Returned,Credit Card
193330,FedEx,Berlin,Medium,Not Returned,Bank Transfer
325391,Royal Mail,London,High,Not Returned,paypall
313606,Royal Mail,London,High,Not Returned,paypall
507085,UPS,London,Low,Returned,Credit Card
291387,Royal Mail,Amsterdam,Low,Not Returned,Credit Card
341133,DHL,Rome,Medium,Not Returned,Bank Transfer
586904,UPS,Berlin,Medium,Not Returned,paypall
514170,DHL,London,High,Not Returned,paypall
786915,UPS,Paris,High,Not Returned,Bank Transfer
425497,DHL,Rome,Medium,Not Returned,Bank Transfer
575406,FedEx,Rome,High,Not Returned,Bank Transfer
538242,FedEx,Berlin,High,Not Returned,paypall
462916,UPS,London,Medium,Not Returned,paypall
278048,FedEx,Berlin,Medium,Not Returned,Credit Card
453646,DHL,London,High,Not Returned,paypall
476087,DHL,Rome,Low,Not Returned,Bank Transfer
471994,UPS,Paris,Low,Not Returned,Credit Card
669383,UPS,Amsterdam,Low,Not Returned,paypall
245342,FedEx,Amsterdam,Low,Not Returned,paypall
786268,UPS,Amsterdam,Medium,Not Returned,Bank Transfer
901955,DHL,Rome,Low,Not Returned,Bank Transfer
162433,Royal Mail,Paris,Medium,Not Returned,Bank Transfer
644279,DHL,Paris,Low,Not Returned,paypall
372919,UPS,Rome,Medium,Not Returned,Credit Card
571017,Royal Mail,Amsterdam,High,Not Returned,Bank Transfer
447139,DHL,Paris,High,Not Returned,Bank Transfer
247745,Royal Mail,Amsterdam,Medium,Not Returned,paypall
747096,Royal Mail,Amsterdam,Low,Not Returned,paypall
782416,UPS,Rome,Medium,Not Returned,Credit Card
237686,Royal Mail,London,High,Not Returned,Bank Transfer
107415,DHL,Amsterdam,Low,Not Returned,paypall
870326,DHL,Amsterdam,Medium,Not Returned,Bank Transfer
537100,DHL,Rome,High,Not Returned,paypall
878493,UPS,Paris,Medium,Not Returned,Bank Transfer
399188,UPS,Berlin,High,Not Returned,paypall
812509,Royal Mail,Rome,Medium,Not Returned,paypall
268616,Royal Mail,London,Medium,Not Returned,paypall
149976,UPS,Rome,High,Not Returned,Credit Card
525468,DHL,Berlin,Low,Not Returned,paypall
365976,DHL,London,Medium,Not Returned,paypall
321883,DHL,Berlin,Low,Not Returned,Bank Transfer
311509,Royal Mail,Amsterdam,Low,Not Returned,paypall
596965,Royal Mail,Paris,Low,Not Returned,Credit Card
920580,FedEx,Rome,Medium,Not Returned,paypall
863529,Royal Mail,London,Medium,Not Returned,Bank Transfer
618823,UPS,Amsterdam,High,Returned,Credit Card
319526,DHL,Berlin,Low,Not Returned,Bank Transfer
998662,Royal Mail,Rome,Low,Not Returned,paypall
447220,UPS,London,Medium,Not Returned,Bank Transfer
924834,FedEx,Paris,Medium,Not Returned,paypall
813087,UPS,Berlin,Low,Not Returned,paypall
138578,UPS,Amsterdam,High,Not Returned,paypall
714741,DHL,Paris,Low,Not Returned,Bank Transfer
515534,UPS,Paris,Medium,Not Returned,Credit Card
962147,DHL,Rome,Low,Not Returned,Credit Card
308859,UPS,London,Low,Not Returned,Credit Card
211435,UPS,Paris,Low,Not Returned,paypall
840389,Royal Mail,London,High,Not Returned,Bank Transfer
251538,UPS,London,Medium,Not Returned,paypall
982174,Royal Mail,Paris,High,Not Returned,Credit Card
145475,Royal Mail,London,Medium,Not Returned,paypall
946574,Royal Mail,Amsterdam,Low,Not Returned,Credit Card
840520,Royal Mail,Amsterdam,High,Not Returned,Bank Transfer
257636,FedEx,Rome,High,Not Returned,paypall
253484,FedEx,Rome,Low,Not Returned,paypall
193526,DHL,London,High,Not Returned,Credit Card
151001,UPS,London,Low,Not Returned,paypall
944081,Royal Mail,Amsterdam,Medium,Not Returned,paypall
292029,FedEx,London,Medium,Not Returned,paypall
528733,UPS,London,Medium,Not Returned,Credit Card
768516,UPS,London,High,Not Returned,paypall
649999,FedEx,Amsterdam,High,Not Returned,Bank Transfer
654394,Royal Mail,Rome,Medium,Not Returned,paypall
951890,UPS,Paris,Medium,Not Returned,paypall
582488,UPS,Amsterdam,Medium,Not Returned,paypall
492573,Royal Mail,London,High,Not Returned,Credit Card
317583,Royal Mail,Berlin,Low,Not Returned,Bank Transfer
463898,Royal Mail,Amsterdam,Low,Not Returned,Bank Transfer
238286,FedEx,Berlin,Medium,Not Returned,paypall
327189,UPS,London,Medium,Not Returned,paypall
226479,DHL,Paris,High,Not Returned,Credit Card
520343,FedEx,Amsterdam,Medium,Not Returned,Bank Transfer
236213,FedEx,London,High,Not Returned,Bank Transfer
653172,FedEx,London,Medium,Not Returned,Credit Card
364852,Royal Mail,Amsterdam,Low,Not Returned,Bank Transfer
904807,FedEx,Amsterdam,High,Not Returned,Bank Transfer
639376,DHL,Paris,High,Not Returned,Credit Card
419759,UPS,London,Medium,Returned,Bank Transfer
472282,Royal Mail,Rome,High,Not Returned,paypall
800406,DHL,London,Low,Not Returned,paypall
372158,Royal Mail,Berlin,Medium,Not Returned,Bank Transfer
819785,DHL,Rome,High,Not Returned,paypall
496489,UPS,Berlin,High,Not Returned,paypall
802495,FedEx,Amsterdam,Low,Returned,Credit Card
464986,UPS,Berlin,Low,Not Returned,Bank Transfer
590238,DHL,Berlin,Low,Not Returned,paypall
178077,UPS,Amsterdam,Low,Not Returned,Bank Transfer
239784,FedEx,Paris,Medium,Not Returned,paypall
305776,Royal Mail,Amsterdam,Low,Not Returned,paypall
415018,DHL,London,High,Not Returned,paypall
169087,UPS,London,Low,Not Returned,paypall
898729,UPS,Berlin,Low,Not Returned,Bank Transfer
864629,Royal Mail,Paris,Low,Not Returned,Credit Card
913560,UPS,London,High,Not Returned,paypall
692656,UPS,Rome,Low,Not Returned,Credit Card
843859,DHL,Paris,Medium,Not Returned,Bank Transfer
441102,UPS,Rome,Low,Returned,Bank Transfer
395064,UPS,London,High,Not Returned,Credit Card
351514,FedEx,Berlin,High,Returned,Credit Card
242180,DHL,Paris,High,Not Returned,Credit Card
884192,Royal Mail,London,Low,Not Returned,Credit Card
535928,UPS,Paris,High,Not Returned,Bank Transfer
701891,DHL,London,High,Not Returned,Bank Transfer
133872,FedEx,Paris,Low,Not Returned,Bank Transfer
372872,DHL,London,Medium,Not Returned,paypall
457246,DHL,London,Low,Not Returned,Bank Transfer
588535,FedEx,Rome,High,Not Returned,Bank Transfer
484193,DHL,Berlin,Low,Not Returned,Bank Transfer
